Cell Width (mm),Initial Pressure (atm),Initial Pressure (atm)
10.7106,0.009,0.009
9.8235,0.009,0.009
8.9322,0.0091,0.0091
7.7101,0.0103,0.0103
9.0828,0.0143,0.0143
7.8413,0.0144,0.0144
7.0695,0.0129,0.0129
6.263,0.0139,0.0139
6.768,0.0171,0.0171
5.4993,0.0186,0.0186
5.3131,0.0165,0.0165
5.3135,0.0155,0.0155
5.4537,0.0144,0.0144
6.263,0.014,0.014
7.0695,0.013,0.013
4.2439,0.0154,0.0154
4.0984,0.0197,0.0197
3.9247,0.021,0.021
3.7583,0.0224,0.0224
3.001,0.0273,0.0273
3.053,0.0297,0.0297
2.2552,0.0381,0.0381
2.1224,0.0429,0.0429
2.3747,0.0452,0.0452
2.1591,0.0488,0.0488
1.8162,0.0492,0.0492
1.7849,0.0522,0.0522
1.4627,0.0658,0.0658
1.2093,0.0675,0.0675
