Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.0263,2.66419,2.66419
0.0264,2.67432,2.67432
0.0264,2.67432,2.67432
0.0342,3.46446,3.46446
0.0325,3.29225,3.29225
0.0307,3.10991,3.10991
0.0374,3.78862,3.78862
0.0374,3.78862,3.78862
0.0391,3.96083,3.96083
0.0392,3.97096,3.97096
0.0451,4.56863,4.56863
0.0593,6.00709,6.00709
0.0593,6.00709,6.00709
0.0594,6.01722,6.01722
0.0663,6.71619,6.71619
0.0791,8.01283,8.01283
0.0725,7.34425,7.34425
0.0792,8.02296,8.02296
0.1058,10.71754,10.71754
0.1183,11.98379,11.98379
0.1193,12.08509,12.08509
0.1312,13.29056,13.29056
0.1323,13.40199,13.40199
0.1737,17.59581,17.59581
