Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.0391,3.96083,3.96083
0.0464,4.70032,4.70032
0.0526,5.32838,5.32838
0.0527,5.33851,5.33851
0.0598,6.05774,6.05774
0.0677,6.85801,6.85801
0.0804,8.14452,8.14452
0.1042,10.55546,10.55546
0.1208,12.23704,12.23704
0.1174,11.89262,11.89262
0.1201,12.16613,12.16613
0.1312,13.29056,13.29056
0.1467,14.86071,14.86071
0.1579,15.99527,15.99527
0.1738,17.60594,17.60594
0.1899,19.23687,19.23687
0.1886,19.10518,19.10518
0.2001,20.27013,20.27013
0.248,25.1224,25.1224
0.2499,25.31487,25.31487
0.2691,27.25983,27.25983
0.324,32.8212,32.8212
0.3516,35.61708,35.61708
