Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
6.05327,613.347583,613.347583
6.05848,613.875486,613.875486
5.97898,605.820149,605.820149
4.09296,414.719172,414.719172
2.58038,261.457004,261.457004
2.54653,258.027152,258.027152
2.2741,230.423183,230.423183
2.0336,206.05452,206.05452
1.55876,157.941357,157.941357
0.99612,100.931859,100.931859
0.593228,60.108827,60.108827
0.395545,40.078597,40.078597
0.204824,20.753792,20.753792
0.100407,10.173739,10.173739
0.059961,6.075528,6.075528
0.051364,5.204467,5.204467
0.03936,3.988193,3.988193
