Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.054868,5.5595,5.5595
0.049684,5.034231,5.034231
0.049564,5.022072,5.022072
0.060364,6.116382,6.116382
0.060328,6.112735,6.112735
0.048809,4.945572,4.945572
0.09424,9.548868,9.548868
0.10546,10.685735,10.685735
0.09955,10.086904,10.086904
0.10087,10.220653,10.220653
0.22098,22.390799,22.390799
0.24049,24.367649,24.367649
0.20601,20.873963,20.873963
0.40253,40.786352,40.786352
0.40229,40.762034,40.762034
0.4971,50.368658,50.368658
0.5038,51.047535,51.047535
0.60417,61.217525,61.217525
1.013,102.642225,102.642225
2.0665,209.388113,209.388113
3.0156,305.55567,305.55567
