Initial Pressure (atm),Initial Pressure (kPa),Initial Pressure (kPa)
0.0598,6.05774,6.05774
0.0608,6.15904,6.15904
0.0602,6.09826,6.09826
0.0724,7.33412,7.33412
0.0787,7.97231,7.97231
0.0925,9.37025,9.37025
0.1029,10.42377,10.42377
0.1157,11.72041,11.72041
0.1212,12.27756,12.27756
0.153,15.4989,15.4989
0.1868,18.92284,18.92284
0.2176,22.04288,22.04288
0.2504,25.36552,25.36552
0.2812,28.48556,28.48556
0.3431,34.75603,34.75603
0.3808,38.57504,38.57504
0.4086,41.39118,41.39118
0.4479,45.37227,45.37227
0.4794,48.56322,48.56322
0.521,52.7773,52.7773
