Equivalence Ratio,Critical Charge (kg tetryl),Critical Charge (kg tetryl)
3.0285,1.1672,1.1672
2.9217,0.7832,0.7832
2.8153,0.4508,0.4508
2.5841,0.174,0.174
2.3472,0.0602,0.0602
2.2106,0.0369,0.0369
2.1154,0.0271,0.0271
2.014,0.0217,0.0217
1.9191,0.0149,0.0149
1.8118,0.0114,0.0114
1.7163,0.0093,0.0093
1.6688,0.0078,0.0078
1.6151,0.007,0.007
1.5672,0.0066,0.0066
1.5012,0.0063,0.0063
1.4593,0.0061,0.0061
1.4112,0.0062,0.0062
1.3511,0.0062,0.0062
1.2907,0.0067,0.0067
1.2424,0.0072,0.0072
1.1878,0.0083,0.0083
1.1449,0.0108,0.0108
1.0844,0.0123,0.0123
1.0233,0.0167,0.0167
0.968,0.0241,0.0241
0.9187,0.0349,0.0349
0.8687,0.0629,0.0629
0.8061,0.1322,0.1322
0.7491,0.3236,0.3236
0.7046,0.6655,0.6655
0.697,1.101,1.101
